,movie_names,ratings,voting_counts,duration_minutes,genre
381,Interviews with Abdelkrim Baba Aïssa,6.94281045751634,0,374,biography
382,Complô,6.94281045751634,0,85,biography
383,Shaking It Up: The Life and Times of Liz Carpenter,8.0,9,77,biography
384,Seu Cavalcanti,6.94281045751634,0,78,biography
385,Mariko's Dream,6.94281045751634,0,79,biography
386,Destiny or Will. Marusia,8.9,17,0,biography
387,Meri Maa Karma,6.94281045751634,0,92,biography
388,Domenico Modugno - L'italiano che incantò il mondo,6.94281045751634,0,92,biography
389,Rinnans rival,6.94281045751634,0,94,biography
390,Italo Calvino nelle città,6.94281045751634,0,86,biography
391,Mera naam ullhas hai part 2 (bachelor),6.94281045751634,0,60,biography
392,Illuminate - Monica Vitti - La donna che visse due volte,6.94281045751634,0,45,biography
393,Another Part of Me,6.94281045751634,0,92,biography
394,"Georges Pompidou, la cruauté du pouvoir",6.5,7,104,biography
395,Mario Verdone: Il critico viaggiatore,6.94281045751634,0,67,biography
396,My Barbara,6.94281045751634,0,56,biography
397,Ajiniyaz,6.94281045751634,0,92,biography
398,The Wellness Warrior,6.94281045751634,0,45,biography
399,A Serena Onda que o Mar me Trouxe,6.94281045751634,0,73,biography
400,"Lupicinio Rodrigues, Confissões de um Sofredor",7.4,7,99,biography
401,"Wifredo, el legado de un genio del lente",6.94281045751634,0,64,biography
402,¿De qué casa eres?,6.94281045751634,0,72,biography
403,Die Hahnenkammbahn,6.94281045751634,0,92,biography
404,Bob Noto - The World's Finest Palate,6.94281045751634,0,92,biography
405,Zakonczenie 8 Klasy W Szkole Podstawowej W Pamiatkowie,6.94281045751634,0,92,biography
406,Tesouro Natterer,6.94281045751634,0,84,biography
407,I am the girl: this is my childhood until I wake up,6.94281045751634,0,100,biography
408,Herman Brood and His Wild Romance,6.94281045751634,0,92,biography
409,Sugarcane Baby,6.94281045751634,0,92,biography
410,Samuel: Hollywood vs. Hollywood,6.94281045751634,0,109,biography
411,Zielony atrament,6.94281045751634,0,49,biography
412,Sunita,6.94281045751634,0,92,biography
413,La nostra Raffaella,6.94281045751634,0,85,biography
414,Pandit Ayachi,6.94281045751634,0,64,biography
415,The light of Darkness,6.94281045751634,0,50,biography
416,Gevart,7.3,70,34,biography
417,Dad and I: The Legacy of Timothy J. Dunn,6.94281045751634,0,143,biography
418,Neizvestnaya Tsvetaeva,6.94281045751634,0,92,biography
419,Nomade che non sono altro,6.94281045751634,0,92,biography
420,Atín Aya. Retrato del silencio,6.94281045751634,0,79,biography
421,Why I Swam Upstream,6.94281045751634,0,92,biography
422,Frida Khalo Woman Experiences,6.94281045751634,0,92,biography
423,Ghouroub,6.94281045751634,0,65,biography
424,Mary Pickford's Kiss,6.94281045751634,0,83,biography
425,Beyaz Zenciler: Yapim Asamasi,8.6,5,55,biography
426,The Artistry of Dean Irby,6.94281045751634,0,95,biography
427,Song of the Last Lacandon Holy Man,6.94281045751634,0,67,biography
428,Anssi Mänttäri - Suomielokuvan kummisetä,6.94281045751634,0,113,biography
429,Sognare è vivere - La leggenda di Porto Rafael,6.94281045751634,0,92,biography
430,"THE GAP: A Documentary About Where You Are, and Where You Want to Be.",6.94281045751634,0,96,biography
431,A modo mio - Patty Pravo,6.94281045751634,0,92,biography
432,Victoria para el teatro puertorriqueño,6.94281045751634,0,132,biography
433,Pellizza pittore da Volpedo,6.94281045751634,0,75,biography
434,Eleonora Abbagnato - Una stella che danza,6.94281045751634,0,92,biography
435,O Homem Crocodilo,6.94281045751634,0,84,biography
436,Aftografo: Evangelos N. Roussos,6.94281045751634,0,92,biography
437,Si dice di me,6.94281045751634,0,68,biography
438,Yatra2,6.94281045751634,0,92,biography
439,Ago,8.0,6,80,biography
440,Toquinho: Encontros e um Violão,8.6,5,90,biography
441,XX secoli di secondi,6.94281045751634,0,116,biography
442,Insula Fondane (Fondane Island),8.7,12,82,biography
443,Itinéraire d'un enfant DJ,6.94281045751634,0,92,biography
444,Palace Guardians,9.3,8,64,biography
445,"Jaime Isidoro: divulgador, colecionador, artista",6.94281045751634,0,80,biography
446,Ibnu Nurwanto - The Wood,6.94281045751634,0,61,biography
447,Maçãs no Escuro,6.94281045751634,0,108,biography
448,Gaspare Spontini Celeste Amore,6.94281045751634,0,92,biography
449,YA - Sergey Obraztsov,6.94281045751634,0,85,biography
450,"Frédéric Mitterrand, une vie en images",6.94281045751634,0,50,biography
451,Zivot je maskenbal,6.94281045751634,0,88,biography
452,"Sebastião Leme, o Fotógrafo Inventor",6.94281045751634,0,80,biography
453,Despierta tu alma,6.94281045751634,0,92,biography
454,Mr Bakhshdar,6.94281045751634,0,60,biography
455,El Chilote: Gloria del Béisbol Dominicano,6.94281045751634,0,75,biography
456,"José Lifante, mi aventura en el cine",6.94281045751634,0,85,biography
457,Zhambyl: New Era,6.94281045751634,0,92,biography
458,Los Chavales de la Morelia,6.94281045751634,0,40,biography
459,Jestem postacia fikcyjna,6.94281045751634,0,75,biography
460,Obsessed with Fashion,6.94281045751634,0,92,biography
461,Um Tempo de Todos,6.94281045751634,0,132,biography
462,Duilio Cambellotti - Arte senza fine,6.94281045751634,0,56,biography
463,Images of Album,6.94281045751634,0,92,biography
464,Samadhi Consciousness Film,6.94281045751634,0,92,biography
465,Colita sin filtros,6.94281045751634,0,58,biography
466,I Used to Love a Crackhead,6.94281045751634,0,92,biography
467,Seamus,6.94281045751634,0,62,biography
468,"Nemere István: addig írok, amíg élek",6.94281045751634,0,70,biography
469,The Life and Death of Orson Greer,6.94281045751634,0,92,biography
470,De erfenis van Els Borst,6.94281045751634,0,92,biography
471,"Señor Jazz, la película de Carlos Inzillo",6.94281045751634,0,82,biography
472,Mi última Gran Montaña,6.94281045751634,0,92,biography
473,Gaston - Last Clown Standing,6.94281045751634,0,90,biography
474,Hamzeh Kassab,6.94281045751634,0,92,biography
475,Ouka Leele. El viaje de una estrella,6.94281045751634,0,60,biography
476,On Air,6.94281045751634,0,92,biography
477,Colbert: All Students Can Learn,6.94281045751634,0,92,biography
478,Norma: rosso sangue,6.94281045751634,0,92,biography
479,Doris Soffel - Mezzosopran Ein Leben im Labyrinth,6.94281045751634,0,59,biography
480,"Antonio Mairena, la raiz del cante",6.94281045751634,0,92,biography
481,Sefi,6.94281045751634,0,58,biography
482,Alzheimer mezhdu baba i men,6.94281045751634,0,51,biography
