,movie_names,ratings,voting_counts,duration_minutes,genre
396,NJPW SMP: The Movie,6.625769230769232,0,50,animation
397,Despierta tu alma,6.625769230769232,0,78,animation
398,Five Nights at TK's: The Curse of TK,6.625769230769232,0,60,animation
399,Gift,6.625769230769232,0,78,animation
400,Frost: End of the Ashics,6.625769230769232,0,57,animation
401,Apperception,6.625769230769232,0,62,animation
402,Um Tempo de Todos,6.625769230769232,0,132,animation
403,Pikmin Destruction,6.625769230769232,0,95,animation
404,Ah My Goddess: Bad Goddess One Wish,6.625769230769232,0,53,animation
405,Nancy & Bill: The Story Before Oliver Twist,6.625769230769232,0,78,animation
406,Untitled Ambition: The Journey to Valtoria,6.625769230769232,0,78,animation
407,The Redemption of Zack & Heather (Remastered),6.625769230769232,0,78,animation
408,Mel John,6.625769230769232,0,115,animation
409,Minderler Adasi: Kilicin Sahibi,6.625769230769232,0,78,animation
410,Baby Pillows,6.625769230769232,0,78,animation
411,Imam Hussein the Majestic Sacrifice,6.625769230769232,0,78,animation
412,1963,6.625769230769232,0,57,animation
413,Tax on Cigarettes,6.625769230769232,0,78,animation
414,Symphony of the Eyes,6.625769230769232,0,43,animation
415,Sunny,6.625769230769232,0,78,animation
416,VS Volume 4,6.625769230769232,0,78,animation
417,Molang au cinéma!,6.625769230769232,0,55,animation
418,Pesnya Sirin,6.625769230769232,0,85,animation
419,Chikoo Bunty in the Ultimate Dream Chase,6.625769230769232,0,90,animation
