,movie_names,ratings,voting_counts,duration_minutes,genre
434,La Familia del Barrio: La Película,4.5,7,0,adventure
435,Wonderland,6.8,13,120,adventure
436,Nature Cat's Nature Movie Special Extraordinaire,7.3,19,53,adventure
437,Zoloto Umalty,4.9,114,109,adventure
438,Moy lyubimyy chempion,2.3,421,95,adventure
439,The Puffins: Arctic Games,6.0793103448275865,0,90,adventure
440,Deux hommes un destin,6.0793103448275865,0,94,adventure
441,Treasure Fellowship,6.0793103448275865,0,86,adventure
442,The Last Survivor,6.0793103448275865,0,115,adventure
443,Mesken (Messuage),7.4,45,102,adventure
444,Road to Paradise,6.0793103448275865,0,76,adventure
445,Knight,6.0793103448275865,0,90,adventure
446,Ba Jie,6.0793103448275865,0,90,adventure
447,Il ricercatore,6.4,9,71,adventure
448,Novogodniy ekspress,8.5,8,47,adventure
449,One in a million chance,6.0793103448275865,0,70,adventure
450,One Day the Movie,6.0793103448275865,0,90,adventure
451,Isle: Alpha One,8.4,7,97,adventure
452,Pirates & Slaves,5.8,6,53,adventure
453,Longe da Estrada,6.0,9,68,adventure
454,Kyle and the Last Emerald 2,8.4,9,15,adventure
455,I am the girl 3 me and my girlfriend,6.0793103448275865,0,90,adventure
456,Alex and Mia's Awesome Movie!!,6.0793103448275865,0,75,adventure
457,Sehnsucht nach Firdaws,8.7,7,103,adventure
458,Applepictures the Poseidon Legacy,6.4,19,84,adventure
459,Emma,6.0793103448275865,0,90,adventure
460,Filmmaker,6.0793103448275865,0,97,adventure
461,My Only Relative.,6.0793103448275865,0,105,adventure
462,"Poymay sobaku, esli smozhesh",3.6,38,96,adventure
463,Kage & Celeste,6.0793103448275865,0,69,adventure
464,Tinpot & Yello,6.0793103448275865,0,51,adventure
465,Piri Reis: The Incredible Chart,7.0,27,138,adventure
466,Lost and Found,6.0793103448275865,0,60,adventure
467,PW V: Tears of the Fallen,8.2,11,60,adventure
468,LUDA,7.2,6,86,adventure
469,Cursed Waters: Creature of Lake Okanagan,6.0793103448275865,0,90,adventure
470,Mouse Tales Movie 2,6.0793103448275865,0,60,adventure
471,The Road to OVC Champions,6.0793103448275865,0,62,adventure
472,A Christmas Carol,9.8,11,39,adventure
473,Pueblo En Llamas,6.0793103448275865,0,82,adventure
474,Adrian,6.0793103448275865,0,90,adventure
475,Novyy god v Beryozovke,7.1,100,94,adventure
476,Suvorovets 1944,3.4,26,90,adventure
477,Gumshoe Jon and the Mystery of the Saucer Men - The Even Better Version,6.0793103448275865,0,90,adventure
478,Changle zhen gui shi,6.0793103448275865,0,88,adventure
479,Tayna Chyornoy Ruki,5.7,24,84,adventure
480,The Pizza Guys,6.0793103448275865,0,89,adventure
481,V potoke trekh stikhiy,5.2,42,85,adventure
482,"Women, Dreams and Bread",6.0793103448275865,0,90,adventure
483,The Ghost of Annie Lee,4.8,5,103,adventure
484,Target Jeremy,6.0793103448275865,0,90,adventure
485,The Dragon's Tomb,6.8,52,77,adventure
486,I racconti del mare,6.0793103448275865,0,89,adventure
